country,region,city,latitude,longitude,annual_dni,annual_ghi,annual_tilt,collection_date,annual_dhi,annual_ghi_calc,monthly_ghi_dict,monthly_ghi_vals,solar_power_generated,Unnamed: 0,state,lat,lon,wind_speed_50m,wind_speed_100m,wind_speed_150m,wind_speed_80m_est,power_80m_est,year,region_enc
USA,Massachusetts,Boston,42.3601,-71.0589,3.79,"{'annual': 3.84, 'monthly': {'jan': 1.87, 'feb': 2.79, 'mar': 3.76, 'apr': 4.73, 'may': 5.33, 'jun': 5.61, 'jul': 5.86, 'aug': 5.3, 'sep': 4.29, 'oct': 2.92, 'nov': 1.93, 'dec': 1.6}}",4.57,2025-09-01T19:25:52.579,1.1590000000000005,4.57,"{'jan': 1.87, 'feb': 2.79, 'mar': 3.76, 'apr': 4.73, 'may': 5.33, 'jun': 5.61, 'jul': 5.86, 'aug': 5.3, 'sep': 4.29, 'oct': 2.92, 'nov': 1.93, 'dec': 1.6}","[1.87, 2.79, 3.76, 4.73, 5.33, 5.61, 5.86, 5.3, 4.29, 2.92, 1.93, 1.6]",4.4786,20,Massachusetts,42.3601,-71.0589,5.6623025,6.728487,7.538968,6.515662955399375,137.23565028345513,2025,20
USA,Michigan,Detroit,42.3314,-83.0458,3.59,"{'annual': 3.84, 'monthly': {'jan': 1.62, 'feb': 2.54, 'mar': 3.74, 'apr': 4.88, 'may': 5.53, 'jun': 6.09, 'jul': 6.1, 'aug': 5.22, 'sep': 4.4, 'oct': 2.76, 'nov': 1.72, 'dec': 1.37}}",4.41,2025-09-01T19:25:57.664,1.1790000000000005,4.41,"{'jan': 1.62, 'feb': 2.54, 'mar': 3.74, 'apr': 4.88, 'may': 5.53, 'jun': 6.09, 'jul': 6.1, 'aug': 5.22, 'sep': 4.4, 'oct': 2.76, 'nov': 1.72, 'dec': 1.37}","[1.62, 2.54, 3.74, 4.88, 5.53, 6.09, 6.1, 5.22, 4.4, 2.76, 1.72, 1.37]",4.3218,21,Michigan,42.3314,-83.0458,5.66138,6.79543,7.6424203,6.568975479806634,140.6319614940986,2025,21
USA,Minnesota,Minneapolis,44.9778,-93.265,4.09,"{'annual': 3.79, 'monthly': {'jan': 1.58, 'feb': 2.44, 'mar': 3.59, 'apr': 4.91, 'may': 5.49, 'jun': 5.95, 'jul': 6.35, 'aug': 5.31, 'sep': 4.17, 'oct': 2.57, 'nov': 1.7, 'dec': 1.36}}",4.56,2025-09-01T19:26:02.737,0.8789999999999996,4.56,"{'jan': 1.58, 'feb': 2.44, 'mar': 3.59, 'apr': 4.91, 'may': 5.49, 'jun': 5.95, 'jul': 6.35, 'aug': 5.31, 'sep': 4.17, 'oct': 2.57, 'nov': 1.7, 'dec': 1.36}","[1.58, 2.44, 3.59, 4.91, 5.49, 5.95, 6.35, 5.31, 4.17, 2.57, 1.7, 1.36]",4.4688,22,Minnesota,44.9778,-93.265,5.335675,6.586311,7.4905796,6.338861960248933,126.36447430783194,2025,22
USA,Mississippi,Jackson,32.2988,-90.1848,4.39,"{'annual': 4.58, 'monthly': {'jan': 2.6, 'feb': 3.37, 'mar': 4.45, 'apr': 5.67, 'may': 6.14, 'jun': 6.42, 'jul': 6.14, 'aug': 5.83, 'sep': 4.82, 'oct': 4.01, 'nov': 3.07, 'dec': 2.41}}",5.1,2025-09-01T19:26:07.834,1.149,5.1,"{'jan': 2.6, 'feb': 3.37, 'mar': 4.45, 'apr': 5.67, 'may': 6.14, 'jun': 6.42, 'jul': 6.14, 'aug': 5.83, 'sep': 4.82, 'oct': 4.01, 'nov': 3.07, 'dec': 2.41}","[2.6, 3.37, 4.45, 5.67, 6.14, 6.42, 6.14, 5.83, 4.82, 4.01, 3.07, 2.41]",4.997999999999999,23,Mississippi,32.2988,-90.1848,4.4033256,5.482944,6.3096476,5.286126369855677,73.28308361393195,2025,23
USA,Missouri,Kansas City,39.0997,-94.5786,4.59,"{'annual': 4.25, 'monthly': {'jan': 2.2, 'feb': 2.97, 'mar': 4.0, 'apr': 4.96, 'may': 5.92, 'jun': 6.32, 'jul': 6.36, 'aug': 5.68, 'sep': 4.75, 'oct': 3.34, 'nov': 2.39, 'dec': 2.01}}",4.97,2025-09-01T19:26:13.057,0.8389999999999995,4.97,"{'jan': 2.2, 'feb': 2.97, 'mar': 4.0, 'apr': 4.96, 'may': 5.92, 'jun': 6.32, 'jul': 6.36, 'aug': 5.68, 'sep': 4.75, 'oct': 3.34, 'nov': 2.39, 'dec': 2.01}","[2.2, 2.97, 4.0, 4.96, 5.92, 6.32, 6.36, 5.68, 4.75, 3.34, 2.39, 2.01]",4.8706,24,Missouri,39.0997,-94.5786,5.6228094,6.908264,7.7765713,6.633297436090584,144.80365572177544,2025,24
USA,Montana,Billings,45.7833,-108.5007,5.08,"{'annual': 4.09, 'monthly': {'jan': 1.51, 'feb': 2.48, 'mar': 3.61, 'apr': 4.99, 'may': 6.07, 'jun': 6.59, 'jul': 7.22, 'aug': 6.11, 'sep': 4.54, 'oct': 2.88, 'nov': 1.74, 'dec': 1.27}}",4.98,2025-09-01T19:26:19.182,0.4080000000000003,4.98,"{'jan': 1.51, 'feb': 2.48, 'mar': 3.61, 'apr': 4.99, 'may': 6.07, 'jun': 6.59, 'jul': 7.22, 'aug': 6.11, 'sep': 4.54, 'oct': 2.88, 'nov': 1.74, 'dec': 1.27}","[1.51, 2.48, 3.61, 4.99, 6.07, 6.59, 7.22, 6.11, 4.54, 2.88, 1.74, 1.27]",4.880400000000001,25,Montana,45.7833,-108.5007,4.2770567,5.362777,6.102215,5.138375330988489,67.3082941310543,2025,25
USA,Nebraska,Omaha,41.2565,-95.9345,4.51,"{'annual': 4.16, 'monthly': {'jan': 1.96, 'feb': 2.8, 'mar': 3.85, 'apr': 5.02, 'may': 5.86, 'jun': 6.34, 'jul': 6.44, 'aug': 5.6, 'sep': 4.75, 'oct': 3.23, 'nov': 2.24, 'dec': 1.75}}",4.93,2025-09-01T19:26:24.301,0.8709999999999996,4.93,"{'jan': 1.96, 'feb': 2.8, 'mar': 3.85, 'apr': 5.02, 'may': 5.86, 'jun': 6.34, 'jul': 6.44, 'aug': 5.6, 'sep': 4.75, 'oct': 3.23, 'nov': 2.24, 'dec': 1.75}","[1.96, 2.8, 3.85, 5.02, 5.86, 6.34, 6.44, 5.6, 4.75, 3.23, 2.24, 1.75]",4.8314,26,Nebraska,41.2565,-95.9345,5.4425693,6.7975554,7.8088074,6.543475630504627,139.0005695983494,2025,26
USA,Nevada,Las Vegas,36.1699,-115.1398,7.62,"{'annual': 5.68, 'monthly': {'jan': 3.17, 'feb': 3.98, 'mar': 5.64, 'apr': 6.93, 'may': 7.94, 'jun': 8.37, 'jul': 7.65, 'aug': 7.03, 'sep': 6.22, 'oct': 4.71, 'nov': 3.49, 'dec': 2.87}}",6.69,2025-09-01T19:26:29.798,-0.1680000000000001,6.69,"{'jan': 3.17, 'feb': 3.98, 'mar': 5.64, 'apr': 6.93, 'may': 7.94, 'jun': 8.37, 'jul': 7.65, 'aug': 7.03, 'sep': 6.22, 'oct': 4.71, 'nov': 3.49, 'dec': 2.87}","[3.17, 3.98, 5.64, 6.93, 7.94, 8.37, 7.65, 7.03, 6.22, 4.71, 3.49, 2.87]",6.5562000000000005,27,Nevada,36.1699,-115.1398,3.7144794,4.262923,4.601448,4.119101628148063,34.67357594132694,2025,27
USA,New Hampshire,Manchester,42.9956,-71.4548,3.91,"{'annual': 3.8, 'monthly': {'jan': 1.84, 'feb': 2.66, 'mar': 3.78, 'apr': 4.82, 'may': 5.33, 'jun': 5.53, 'jul': 5.87, 'aug': 5.25, 'sep': 4.2, 'oct': 2.84, 'nov': 1.85, 'dec': 1.57}}",4.54,2025-09-01T19:26:35.077,1.021,4.54,"{'jan': 1.84, 'feb': 2.66, 'mar': 3.78, 'apr': 4.82, 'may': 5.33, 'jun': 5.53, 'jul': 5.87, 'aug': 5.25, 'sep': 4.2, 'oct': 2.84, 'nov': 1.85, 'dec': 1.57}","[1.84, 2.66, 3.78, 4.82, 5.33, 5.53, 5.87, 5.25, 4.2, 2.84, 1.85, 1.57]",4.4492,28,New Hampshire,42.9956,-71.4548,4.4978213,5.5894184,6.4181156,5.3876231846161104,77.58589089604851,2025,28
USA,New Jersey,Newark,40.7357,-74.1724,3.88,"{'annual': 3.96, 'monthly': {'jan': 2.03, 'feb': 2.96, 'mar': 3.98, 'apr': 4.82, 'may': 5.54, 'jun': 5.84, 'jul': 5.87, 'aug': 5.15, 'sep': 4.29, 'oct': 3.08, 'nov': 2.12, 'dec': 1.77}}",4.67,2025-09-01T19:26:40.360,1.178,4.67,"{'jan': 2.03, 'feb': 2.96, 'mar': 3.98, 'apr': 4.82, 'may': 5.54, 'jun': 5.84, 'jul': 5.87, 'aug': 5.15, 'sep': 4.29, 'oct': 3.08, 'nov': 2.12, 'dec': 1.77}","[2.03, 2.96, 3.98, 4.82, 5.54, 5.84, 5.87, 5.15, 4.29, 3.08, 2.12, 1.77]",4.5766,29,New Jersey,40.7357,-74.1724,4.7598,5.9211745,6.787707,5.70212987476359,91.98191061602854,2025,29
